Year,Player,Pos,School,Height (month lmao),Wt (lbs),40YD (s),Vertical (in),BenchReps,Broad Jump (in),3Cone (s),Shuttle (s)
2019,Caleb Wilson,TE,UCLA,4-Jun,240,4.56,29,,113,7.2,4.4
2019,Trayveon Williams,RB,Texas A&M,8-May,206,4.51,33,19,121,7.44,4.44
2019,James Williams,RB,Washington St.,9-May,197,4.58,36.5,,118,7.01,4.25
2019,Dexter Williams,RB,Notre Dame,11-May,212,4.57,36,17,130,7,4.16
2019,Antoine Wesley,WR,Texas Tech,4-Jun,206,,37,6,117,7.07,4.26
2019,Trevon Wesco,TE,West Virginia,3-Jun,267,4.89,31,24,117,7.18,4.38
2019,Mike Weber,RB,Ohio St.,10-May,211,4.47,33.5,22,,,
2019,Jamarius Way,WR,South Alabama,3-Jun,215,4.63,32.5,16,119,,4.66
2019,Kahale Warring,TE,San Diego St.,5-Jun,252,4.67,36.5,19,122,7.21,4.25
2019,Cole Tracy,K,LSU,10-May,184,,,,,,
2019,Clayton Thorson,QB,Northwestern,4-Jun,222,,,,,,
2019,Cody Thompson,WR,Toledo,1-Jun,205,4.57,38.5,19,119,6.87,4.03
2019,Jordan Ta'amu,QB,Mississippi,3-Jun,221,4.77,27.5,,109,7.06,4.36
2019,Tommy Sweeney,TE,Boston College,4-Jun,251,4.83,,17,,,
2019,Jarrett Stidham,QB,Auburn,2-Jun,218,4.81,31,,110,7.28,4.33
2019,Jace Sternberger,TE,Texas A&M,4-Jun,251,4.75,31.5,17,113,7.19,4.31
2019,Kaden Smith,TE,Stanford,5-Jun,255,4.92,32,15,108,7.08,4.47
2019,Jaylen Smith,WR,Louisville,2-Jun,219,4.47,34.5,14,122,7.55,4.48
2019,Irv Smith,TE,Alabama,2-Jun,242,4.63,32.5,19,110,7.32,4.33
2019,Darius Slayton,WR,Auburn,1-Jun,190,4.39,40.5,11,135,7,4.15
2019,Devin Singletary,RB,Florida Atlantic,7-May,203,4.66,35,15,117,7.32,4.4
2019,David Sills,WR,West Virginia,3-Jun,211,4.57,37.5,14,117,6.97,4.28
2019,Kyle Shurmur,QB,Vanderbilt,4-Jun,230,4.91,29.5,,106,7.51,4.53
2019,Austin Seibert,K,Oklahoma,9-May,213,,,,,,
2019,Lj Scott,RB,Michigan St.,Jun-00,227,,33,21,120,7.27,4.34
2019,Jordan Scarlett,RB,Florida,11-May,208,4.47,30,21,116,7.37,4.63
2019,Miles Sanders,RB,Penn St.,11-May,211,4.49,36,20,124,6.89,4.19
2019,Deebo Samuel,WR,South Carolina,11-May,214,4.48,39,15,122,7.03,4.14
2019,Drew Sample,TE,Washington,5-Jun,255,4.71,33.5,,115,7.15,4.31
2019,Brett Rypien,QB,Boise St.,2-Jun,210,4.91,33,,116,7.1,4.29
2019,Riley Ridley,WR,Georgia,1-Jun,199,4.58,30.5,13,124,7.22,4.28
2019,Hunter Renfrow,WR,Clemson,10-May,184,4.59,35,7,116,6.8,4.19
2019,Dax Raymond,TE,Utah St.,5-Jun,255,4.73,32,15,109,7.15,4.39
2019,Tony Pollard,RB,Memphis,Jun-00,210,4.52,35,13,121,,
2019,Qadree Ollison,RB,Pittsburgh,1-Jun,228,4.58,29.5,19,114,7.53,4.31
2019,Josh Oliver,TE,San Jose St.,5-Jun,249,4.63,34,22,117,7.21,4.47
2019,Isaac Nauta,TE,Georgia,3-Jun,244,4.91,28,19,,7.45,4.43
2019,Nyqwan Murray,WR,Florida St.,10-May,191,4.63,34,8,113,7.2,4.4
2019,Kyler Murray,QB,Oklahoma,10-May,207,,,,,,
2019,Stanley Morgan,WR,Nebraska,Jun-00,202,4.53,38.5,14,125,6.78,4.13
2019,Foster Moreau,TE,LSU,4-Jun,253,4.66,36.5,22,121,7.16,4.11
2019,Jalin Moore,RB,Appalachian St.,10-May,212,,,27,,,
2019,David Montgomery,RB,Iowa St.,10-May,222,4.63,28.5,15,121,,
2019,Dillon Mitchell,WR,Oregon,1-Jun,197,4.46,36.5,12,122,,4.29
2019,Gardner Minshew,QB,Washington St.,1-Jun,225,4.97,33.5,,116,7.14,4.45
2019,Jakobi Meyers,WR,North Carolina St.,2-Jun,203,4.63,37,13,118,7.07,4.23
2019,D.K. Metcalf,WR,Mississippi,3-Jun,228,4.33,40.5,27,134,7.38,4.5
2019,Trace McSorley,QB,Penn St.,Jun-00,202,4.57,33,,115,7.09,4.12
2019,Terry McLaurin,WR,Ohio St.,Jun-00,208,4.35,37.5,18,125,7.01,4.15
2019,Alexander Mattison,RB,Boise St.,11-May,221,4.67,35,22,127,7.13,4.29
2019,Alize Mack,TE,Notre Dame,4-Jun,249,4.7,36,22,120,7.27,4.34
2019,Bryce Love,RB,Stanford,9-May,200,,,18,,,
2019,Damarkus Lodge,WR,Mississippi,2-Jun,202,4.55,33.5,11,119,7.06,4.53
2019,Drew Lock,QB,Missouri,4-Jun,228,4.69,31,,112,7.03,4.12
2019,Dawson Knox,TE,Mississippi,4-Jun,254,,34.5,16,,7.12,4.27
2019,Daniel Jones,QB,Duke,5-Jun,221,4.81,33.5,,120,7,4.41
2019,Bisi Johnson,WR,Colorado St.,Jun-00,204,4.51,38,14,124,6.88,4.16
2019,Keesean Johnson,WR,Fresno St.,1-Jun,201,4.6,30,14,117,7.28,4.23
2019,Diontae Johnson,WR,Toledo,10-May,183,4.53,33.5,15,123,7.09,4.45
2019,Anthony Johnson,WR,Buffalo,2-Jun,209,,32.5,18,122,7.12,
2019,Gary Jennings,WR,West Virginia,1-Jun,214,4.42,37,20,127,7.32,4.15
2019,Josh Jacobs,RB,Alabama,10-May,220,,,,,,
2019,Tyree Jackson,QB,Buffalo,7-Jun,249,4.59,34.5,,120,7.09,4.28
2019,Andy Isabella,WR,Massachusetts,9-May,188,4.31,36.5,15,121,6.95,4.15
2019,Alec Ingold,FB,Wisconsin,1-Jun,242,4.89,34,16,116,7.35,4.32
2019,Lil'Jordan Humphrey,WR,Texas,4-Jun,210,4.75,33.5,13,119,7.09,4.29
2019,Travis Homer,RB,Miami,10-May,201,4.48,39.5,17,130,7.07,4.31
2019,Elijah Holyfield,RB,Georgia,10-May,217,4.78,29.5,26,118,,
2019,T.J. Hockenson,TE,Iowa,5-Jun,251,4.7,37.5,17,123,7.02,4.18
2019,Justice Hill,RB,Oklahoma St.,10-May,198,4.4,40,21,130,,
2019,Karan Higdon,RB,Michigan,9-May,206,4.49,34,21,123,,
2019,Darrell Henderson,RB,Memphis,8-May,208,4.49,33.5,22,121,,
2019,Daniel Helm,TE,Duke,4-Jun,249,4.89,,14,,,
2019,Dwayne Haskins,QB,Ohio St.,3-Jun,231,5.04,28.5,,,,
2019,N'Keal Harry,WR,Arizona State,2-Jun,228,4.53,38.5,27,122,,
2019,Damien Harris,RB,Alabama,10-May,216,4.57,37,16,121,,
2019,Kelvin Harmon,WR,North Carolina St.,2-Jun,221,4.6,32.5,18,117,7.15,4.32
2019,Mecole Hardman,WR,Georgia,10-May,187,4.33,36.5,17,119,,
2019,Emanuel Hall,WR,Missouri,2-Jun,201,4.39,43.5,15,141,,
2019,Will Grier,QB,West Virginia,2-Jun,217,4.84,34,,112,7.09,4.28
2019,Terry Godwin,WR,Georgia,11-May,184,4.55,36.5,,117,6.96,
2019,Zach Gentry,TE,Michigan,8-Jun,265,4.9,29.5,12,110,7.4,4.53
2019,Matt Gay,K,Utah,Jun-00,232,,,,,,
2019,Myles Gaskin,RB,Washington,9-May,205,4.58,35.5,24,118,7.19,4.27
2019,Travis Fulgham,WR,Old Dominion,2-Jun,215,4.58,36.5,15,126,,
2019,Nick Fitzgerald,QB,Mississippi St.,5-Jun,226,4.64,29.5,,115,,
2019,Ryan Finley,QB,North Carolina St.,4-Jun,213,4.73,30.5,,116,7.2,4.2
2019,Jazz Ferguson,WR,Northwestern St. (LA),5-Jun,227,4.45,37,8,123,7.25,4.59
2019,Noah Fant,TE,Iowa,4-Jun,249,4.5,39.5,20,127,6.81,4.22
2019,Jovon Durante,WR,Florida Atlantic,11-May,160,4.55,31.5,,120,7,4.31
2019,Greg Dortch,WR,Wake Forest,7-May,173,,,,,,
2019,Johnnie Dixon,WR,Ohio St.,10-May,201,4.41,37.5,16,120,,4.43
2019,Ryan Davis,WR,Auburn,10-May,189,,35,12,124,7.09,4.23
2019,Felton Davis,WR,Michigan St.,3-Jun,211,,,21,,,
2019,Jamal Custis,WR,Syracuse,4-Jun,214,4.5,34.5,,124,,
2019,C.J. Conrad,TE,Kentucky,4-Jun,249,,,,,,
2019,Parris Campbell,WR,Ohio St.,Jun-00,205,4.31,40,11,135,,4.03
2019,Hakeem Butler,WR,Iowa St.,5-Jun,227,4.48,36,18,128,,
2019,Emmanuel Butler,WR,Northern Arizona,3-Jun,217,,36,11,115,,4.22
2019,Marquise Brown,WR,Oklahoma,9-May,166,,,,,,
2019,Keenen Brown,TE,Texas St.,2-Jun,250,4.75,33,17,117,7.27,4.51
2019,Jake Browning,QB,Washington,2-Jun,211,4.74,29,,112,7.19,4.44
2019,A.J. Brown,WR,Mississippi,Jun-00,226,4.49,36.5,19,120,,
2019,Nick Brossette,RB,LSU,11-May,209,4.72,35.5,15,118,7.38,4.44
2019,Tyre Brady,WR,Marshall,3-Jun,211,,32,12,117,,4.25
2019,Miles Boykin,WR,Notre Dame,4-Jun,220,4.42,43.5,12,140,6.77,4.07
2019,Kendall Blanton,TE,Missouri,6-Jun,262,4.95,31,22,113,7.37,4.42
2019,Alex Barnes,RB,Kansas St.,Jun-00,226,4.59,38.5,34,126,6.95,4.1
2019,Ryquell Armstead,RB,Temple,11-May,220,4.45,30,22,114,7.02,4.29
2019,J.J. Arcega-Whiteside,WR,Stanford,2-Jun,225,,,,,,
2019,Rodney Anderson,RB,Oklahoma,Jun-00,224,,,25,,,
2019,Alex Wesley,WR,Northern Colorado,Jun-00,190,4.45,38.5,13,125,7.4,4.44
2019,Easton Stick,QB,North Dakota St.,1-Jun,224,4.62,33.5,,118,6.65,4.05
2019,Benny Snell,RB,Kentucky,10-May,224,4.66,29.5,16,119,7.07,4.33
2019,Jalen Hurd,WR,Baylor,5-Jun,226,,,23,,,
2019,Ashton Dulin,WR,Malone University (Ohio),1-Jun,215,4.43,38,13,121,7,4.22
2019,Keelan Doss,WR,UC Davis,2-Jun,211,,,8,,,